kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 33065 : 260352 60436836 65280 0 0 15392 7232 0 0 
_1.ptx 33066 : 260352 63067500 65280 0 0 15392 7232 0 0 
_1.ptx 33067 : 260352 64593504 65024 0 0 15360 7232 0 0 
_1.ptx 33068 : 260352 67681008 65024 0 0 15360 7232 0 0 
_1.ptx 33069 : 260352 70147512 28672 0 0 14464 7232 0 0 
_1.ptx 33070 : 260352 1562112 0 0 0 0 0 0 0 
_1.ptx 33071 : 260352 1822464 0 0 0 0 0 0 0 
_1.ptx 33072 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33073 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33074 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33075 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33076 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33077 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33078 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33079 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33080 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33081 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33082 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33083 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33084 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33085 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33086 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33087 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33088 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33089 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33090 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33091 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33092 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33093 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33094 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33095 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33096 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33097 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33098 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33099 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33100 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33101 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33102 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33103 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33104 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33105 : 260352 1822464 0 0 0 0 0 0 0 
_1.ptx 33106 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33107 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33108 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33109 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33110 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33111 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33112 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33113 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33114 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33115 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33116 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33117 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33118 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33119 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33120 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33121 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33122 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33123 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33124 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33125 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33126 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33127 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33128 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33129 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33130 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33131 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33132 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33133 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33134 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33135 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33136 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33137 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33138 : 260352 1944540 0 0 0 0 0 0 0 
